Filename,site,Prefix,N_column,S_column,Start_year,End_year,N_years,p_val_ttest,p_val_slope,std_N,std_S,Mean,Slope,R2
ak049.rwl.csv,AK049,BRNF51,BRNF51N,BRNF51S,1901,2001,101,0.068150367,1.67E-08,0.620059316,0.508273236,1.046316518,0.008446307,0.276200014
ak049.rwl.csv,AK049,BRNF48,BRNF48N,BRNF48S,1901,2001,101,1.77E-11,0.000210768,0.244507403,0.25839839,1.511087316,-0.010499625,0.130126
ak049.rwl.csv,AK049,BRNF12,BRNF12N,BRNF12S,1901,1994,94,4.38E-09,1.02E-09,0.385884644,0.245859015,0.896058165,-0.00630674,0.334619069
ak049.rwl.csv,AK049,BRNF61,BRNF61N,BRNF61S,1901,2001,101,0.000360246,1.08E-14,0.321812256,0.178221947,1.168279773,-0.0245146,0.454682396
ak049.rwl.csv,AK049,BRNF53,BRNF53N,BRNF53S,1901,2001,101,5.68E-06,4.18E-07,0.215304036,0.076158609,1.703347406,0.011211711,0.228923455
ak049.rwl.csv,AK049,BRNF60,BRNF60N,BRNF60S,1909,2001,93,0.016239981,1.94E-12,0.241673524,0.370050419,1.230129872,0.01401559,0.421486146
ak049.rwl.csv,AK049,BRNF49,BRNF49N,BRNF49S,1943,2001,59,1.36E-07,8.67E-10,0.318588238,0.523223162,1.870483527,0.043826381,0.485815843
ak049.rwl.csv,AK049,BRNF66,BRNF66N,BRNF66S,1926,2001,76,0.826927193,0.001111126,0.482599599,0.514789031,1.04729211,-0.006381426,0.134671214
ak049.rwl.csv,AK049,BRNF31,BRNF31N,BRNF31S,1901,2001,101,0.047154546,2.80E-16,0.160715292,0.124672926,1.072836304,0.01517181,0.493065946
ak049.rwl.csv,AK049,BRNF23,BRNF23N,BRNF23S,1919,2001,83,2.57E-11,5.65E-13,0.539072277,0.264341617,0.728357825,-0.008507634,0.47548962
ak049.rwl.csv,AK049,BRNF35,BRNF35N,BRNF35S,1901,2001,101,6.82E-07,0.000561404,0.22386052,0.178779533,0.850400707,0.003440261,0.113790849
ak049.rwl.csv,AK049,BRNF05,BRNF05N,BRNF05S,1901,2001,101,4.05E-05,1.44E-19,0.379843149,0.183887339,1.002848176,0.008959531,0.564404874
ak049.rwl.csv,AK049,BRNF07,BRNF07N,BRNF07S,1930,2001,72,6.44E-15,1.01E-13,0.630852218,0.618077883,1.417881381,0.012107703,0.548911807
ak049.rwl.csv,AK049,BRNF28,BRNF28N,BRNF28S,1914,2001,88,8.09E-05,1.70E-05,0.374278946,0.485157028,0.877011284,-0.004106725,0.194563422
ak049.rwl.csv,AK049,BRNF59,BRNF59N,BRNF59S,1901,2001,101,0.000984442,4.69E-06,0.236470978,0.197221125,1.38213321,0.011716165,0.191640995
ak049.rwl.csv,AK049,BRNF20,BRNF20N,BRNF20S,1919,2001,83,1.47E-13,4.89E-07,0.494625655,0.323218949,0.780545751,-0.005296799,0.269723113
ak049.rwl.csv,AK049,BRNF67,BRNF67N,BRNF67S,1901,2001,101,3.48E-22,0.04928944,0.197045209,0.243414655,1.220032404,-0.001082695,0.038482175
ak049.rwl.csv,AK049,BRNF83,BRNF83N,BRNF83S,1917,2001,85,1.17E-08,7.27E-09,0.350764226,0.434975883,1.22749107,0.007427523,0.333355787
ak049.rwl.csv,AK049,BRNF36,BRNF36N,BRNF36S,1939,2001,63,1.29E-07,6.45E-07,0.447024217,0.273921234,0.837116144,-0.007064991,0.33590674
ak049.rwl.csv,AK049,BRNF57,BRNF57N,BRNF57S,1901,2001,101,0.008568872,0.000288572,0.161302304,0.179503179,1.255802771,0.007596741,0.124905836
ak049.rwl.csv,AK049,BRNF30,BRNF30N,BRNF30S,1930,2001,72,0.863958612,0.000109946,0.254717238,0.218215359,1.12185833,-0.010608863,0.193608597
ak049.rwl.csv,AK049,BRNF79,BRNF79N,BRNF79S,1901,2001,101,9.01E-12,4.18E-07,0.429986936,0.185491613,0.764791637,-0.006551695,0.228912738
ak049.rwl.csv,AK049,BRNF24,BRNF24N,BRNF24S,1911,2001,91,0.000119365,1.84E-10,0.674186036,0.416002029,1.211787247,-0.021284542,0.368060698
ak049.rwl.csv,AK049,BRNF77,BRNF77N,BRNF77S,1901,2001,101,3.22E-07,3.25E-08,0.289451388,0.230932469,0.896388225,-0.00533358,0.266639483
ak050.rwl.csv,AK050,BRNC65,BRNC65N,BRNC65S,1901,2000,100,1.45E-29,7.61E-16,0.38289098,0.458911723,1.557357332,0.008888016,0.486309791
ak050.rwl.csv,AK050,BRNC43B,BRNC43BN,BRNC43BS,1939,2000,62,8.45E-14,0.015232041,0.556156504,0.482037125,0.802295183,-0.002942147,0.094231608
ak050.rwl.csv,AK050,BRNC62,BRNC62N,BRNC62S,1901,1989,89,1.43E-23,1.43E-07,0.236099894,0.423107447,1.763303395,0.013467003,0.273784899
ak050.rwl.csv,AK050,BRNC16,BRNC16N,BRNC16S,1901,2000,100,5.56E-15,1.51E-09,0.261658772,0.163178239,0.707034312,0.006544803,0.31238349
ak050.rwl.csv,AK050,BRNC30,BRNC30N,BRNC30S,1904,1987,84,0.948824531,7.92E-07,0.352162446,0.277494547,1.101110926,0.009482906,0.258478064
ak051.rwl.csv,AK051,NCFL10-,NCFL10-N,NCFL10-S,1901,2001,101,4.71E-14,3.54E-08,0.238891209,0.280160011,1.245998029,0.004883522,0.265413345
ak051.rwl.csv,AK051,NCFL04-,NCFL04-N,NCFL04-S,1901,2001,101,2.46E-05,0.005164643,0.281719871,0.320879964,0.911811817,-0.00173369,0.076325894
ak051.rwl.csv,AK051,NCFL01-,NCFL01-N,NCFL01-S,1901,2001,101,4.05E-06,0.004185478,0.401695123,0.387625317,0.917253698,-0.001553248,0.079888473
ak051.rwl.csv,AK051,NCFL09,NCFL09N,NCFL09S,1901,2001,101,5.45E-05,0.001388078,0.20146479,0.28150094,1.171156134,-0.00451411,0.098564124
ak054.rwl.csv,AK054,ARRC72,ARRC72N,ARRC72S,1944,2000,57,0.42554701,1.35E-05,0.282281995,0.358172792,1.042595047,0.007836383,0.293435946
ak054.rwl.csv,AK054,ARRC85,ARRC85N,ARRC85S,1901,2000,100,3.85E-18,1.06E-22,0.168699391,0.159652545,2.08869636,0.039326662,0.626843336
ak054.rwl.csv,AK054,ARRC110,ARRC110N,ARRC110S,1901,2000,100,1.04E-39,9.55E-11,0.601806541,0.38736179,0.436702008,-0.002946968,0.349344879
ak054.rwl.csv,AK054,ARRC76,ARRC76N,ARRC76S,1901,2000,100,0.024512217,0.029476173,0.195821104,0.254544379,1.094387972,-0.002484006,0.047446956
ak054.rwl.csv,AK054,ARRC79,ARRC79N,ARRC79S,1901,1985,85,0.103185221,1.20E-06,0.471409487,0.60851662,0.952943374,0.011221119,0.248555864
ak054.rwl.csv,AK054,ARRC107,ARRC107N,ARRC107S,1901,2000,100,4.90E-28,3.03E-09,0.662091862,0.556301485,0.560739272,-0.003631952,0.302741474
ak054.rwl.csv,AK054,ARRC74,ARRC74N,ARRC74S,1901,2000,100,1.14E-08,3.50E-13,0.418404074,0.240137945,0.927599163,-0.008428142,0.418703031
ak054.rwl.csv,AK054,ARRC99A,ARRC99AN,ARRC99AS,1901,1968,68,5.08E-09,0.003458,0.405127026,0.258318305,0.833605489,0.004108982,0.122341212
ak054.rwl.csv,AK054,ARRC88,ARRC88N,ARRC88S,1901,1981,81,6.37E-07,4.18E-09,0.299177831,0.356399983,0.843717748,-0.005881023,0.355864209
ak054.rwl.csv,AK054,ARRC113,ARRC113N,ARRC113S,1901,2000,100,0.094240661,7.67E-12,0.398852195,0.3064914,1.01205459,-0.005661843,0.381463985
ak054.rwl.csv,AK054,ARRC80,ARRC80N,ARRC80S,1936,2000,65,0.03343638,0.006226954,0.313124111,0.205649806,1.23359767,0.007239496,0.112832437
ak054.rwl.csv,AK054,ARRC81,ARRC81N,ARRC81S,1901,2000,100,0.041521468,0.003363106,0.510199694,0.402261942,1.018602755,-0.00362693,0.084415338
ak056.rwl.csv,AK056,ARRC72,ARRC72N,ARRC72S,1944,2000,57,0.42554701,1.35E-05,0.282281995,0.358172792,1.042595047,0.007836383,0.293435946
ak056.rwl.csv,AK056,ARRC85,ARRC85N,ARRC85S,1901,2000,100,3.85E-18,1.06E-22,0.168699391,0.159652545,2.08869636,0.039326662,0.626843336
ak056.rwl.csv,AK056,ARRC110,ARRC110N,ARRC110S,1901,2000,100,1.04E-39,9.55E-11,0.601806541,0.38736179,0.436702008,-0.002946968,0.349344879
ak056.rwl.csv,AK056,ARRC76,ARRC76N,ARRC76S,1901,2000,100,0.024512217,0.029476173,0.195821104,0.254544379,1.094387972,-0.002484006,0.047446956
ak056.rwl.csv,AK056,ARRC79,ARRC79N,ARRC79S,1901,1985,85,0.103185221,1.20E-06,0.471409487,0.60851662,0.952943374,0.011221119,0.248555864
ak056.rwl.csv,AK056,ARRC107,ARRC107N,ARRC107S,1901,2000,100,4.90E-28,3.03E-09,0.662091862,0.556301485,0.560739272,-0.003631952,0.302741474
ak056.rwl.csv,AK056,ARRC74,ARRC74N,ARRC74S,1901,2000,100,1.14E-08,3.50E-13,0.418404074,0.240137945,0.927599163,-0.008428142,0.418703031
ak056.rwl.csv,AK056,ARRC99A,ARRC99AN,ARRC99AS,1901,1968,68,5.08E-09,0.003458,0.405127026,0.258318305,0.833605489,0.004108982,0.122341212
ak056.rwl.csv,AK056,ARRC88,ARRC88N,ARRC88S,1901,1981,81,6.37E-07,4.18E-09,0.299177831,0.356399983,0.843717748,-0.005881023,0.355864209
ak056.rwl.csv,AK056,ARRC113,ARRC113N,ARRC113S,1901,2000,100,0.094240661,7.67E-12,0.398852195,0.3064914,1.01205459,-0.005661843,0.381463985
ak056.rwl.csv,AK056,ARRC80,ARRC80N,ARRC80S,1936,2000,65,0.03343638,0.006226954,0.313124111,0.205649806,1.23359767,0.007239496,0.112832437
ak056.rwl.csv,AK056,ARRC81,ARRC81N,ARRC81S,1901,2000,100,0.041521468,0.003363106,0.510199694,0.402261942,1.018602755,-0.00362693,0.084415338
ak092.rwl.csv,AK092,BC63,BC63N,BC63S,1901,1993,93,0.008284808,1.34E-07,0.2454415,0.12998762,1.086445161,0.013520978,0.264525063
ak096.rwl.csv,AK096,WS1,WS1N,WS1S,1901,1989,89,2.00E-05,5.61E-11,0.224512808,0.173305307,0.949913845,0.012652408,0.391309268
ak096.rwl.csv,AK096,WS5,WS5N,WS5S,1901,1989,89,0.007743527,7.97E-07,0.330969688,0.255069339,1.288448498,0.008735148,0.245440317
ak097.rwl.csv,AK097,WR35,WR35N,WR35S,1901,1940,40,4.67E-12,2.88E-05,0.257133477,0.118114674,0.534787733,-0.006231341,0.372624462
ak100.rwl.csv,AK100,BB37,BB37N,BB37S,1901,1991,91,2.35E-14,1.19E-16,0.224811934,0.494391823,1.425284123,0.012527055,0.539389269
ak100.rwl.csv,AK100,BB40,BB40N,BB40S,1901,1999,99,2.03E-10,4.16E-09,0.433572779,0.314259534,0.796732051,0.006523551,0.300892449
ak104.rwl.csv,AK104,DA02,DA02N,DA02S,1901,1980,80,0.189251054,1.18E-07,0.045196671,0.040820625,1.143643098,-0.009553934,0.303656169
ak104.rwl.csv,AK104,DA28,DA28N,DA28S,1901,1949,49,2.45E-07,0.000122335,0.140004142,0.145459032,0.85949128,0.006151777,0.271838389
ak104.rwl.csv,AK104,DA38,DA38N,DA38S,1901,2000,100,9.35E-25,1.59E-08,0.059452528,0.087583101,1.366569487,0.004611034,0.279344025
ak104.rwl.csv,AK104,DA62,DA62N,DA62S,1901,2000,100,0.000967437,7.72E-06,0.05504287,0.060872793,0.945011993,-0.002726352,0.185498458
ak107.rwl.csv,AK107,GN10,GN10N,GN10S,1901,2000,100,0.000171182,7.52E-20,0.083414203,0.121606953,1.154763534,-0.01052305,0.573754415
ak112.rwl.csv,AK112,WS1,WS1N,WS1S,1901,1989,89,2.00E-05,5.61E-11,0.224512808,0.173305307,0.949913845,0.012652408,0.391309268
ak112.rwl.csv,AK112,WS5,WS5N,WS5S,1901,1989,89,0.007743527,7.97E-07,0.330969688,0.255069339,1.288448498,0.008735148,0.245440317
ak113.rwl.csv,AK113,DA38,DA38N,DA38S,1901,2000,100,9.35E-25,1.59E-08,0.059452528,0.087583101,1.366569487,0.004611034,0.279344025
ak113.rwl.csv,AK113,DA62,DA62N,DA62S,1901,2000,100,0.000967437,7.72E-06,0.05504287,0.060872793,0.945011993,-0.002726352,0.185498458
ak113.rwl.csv,AK113,DA02,DA02N,DA02S,1901,1980,80,0.189251054,1.18E-07,0.045196671,0.040820625,1.143643098,-0.009553934,0.303656169
ak113.rwl.csv,AK113,DA28,DA28N,DA28S,1901,1949,49,2.45E-07,0.000122335,0.140004142,0.145459032,0.85949128,0.006151777,0.271838389
ak114.rwl.csv,AK114,WP32,WP32N,WP32S,1901,1956,56,2.98E-15,0.001291607,0.037663703,0.065353939,2.337409409,0.035597086,0.175933565
ak114.rwl.csv,AK114,BB37,BB37N,BB37S,1901,1991,91,2.35E-14,1.19E-16,0.224811934,0.494391823,1.425284123,0.012527055,0.539389269
ak114.rwl.csv,AK114,BB40,BB40N,BB40S,1901,1999,99,2.03E-10,4.16E-09,0.433572779,0.314259534,0.796732051,0.006523551,0.300892449
ak130.rwl.csv,AK130,JM02,JM02N,JM02S,1901,1991,91,0.699267955,0.000679415,0.116800361,0.125901358,1.110841942,0.006395232,0.122289838
ak130.rwl.csv,AK130,JM03,JM03N,JM03S,1901,1997,97,5.26E-07,0.000196676,0.132172164,0.152481172,1.266841703,0.006371778,0.13643179
ak130.rwl.csv,AK130,JM06,JM06N,JM06S,1901,1949,49,0.728117658,3.52E-12,0.341729795,0.14465937,1.171524137,-0.030486252,0.646303787
ak131.rwl.csv,AK131,LC11,LC11N,LC11S,1901,2009,109,0.000165861,3.97E-11,0.092505667,0.056879284,0.977837316,0.006715889,0.336086726
ak131.rwl.csv,AK131,SL13,SL13N,SL13S,1901,1998,98,4.42E-34,0.038723139,0.125962132,0.065495134,0.460152557,-0.00141308,0.043755532
ak131.rwl.csv,AK131,SL15,SL15N,SL15S,1901,2009,109,3.50E-35,0.003873672,0.068012322,0.095133113,1.420745933,0.002200226,0.075337386
ak150.rwl.csv,AK150,WM39,WM39N,WM39S,1901,2009,109,0.082252504,3.32E-05,0.227906007,0.253989521,1.05987617,0.002945207,0.149320033
ak192.rwl.csv,AK192,BC07,BC07N,BC07S,1901,2015,115,3.36E-06,8.27E-05,0.253302172,0.182548359,0.94359485,0.002336982,0.128664882
ak192.rwl.csv,AK192,BC20,BC20N,BC20S,1901,2015,115,1.81E-10,0.019873271,0.561035153,0.417473889,0.871212715,0.001668632,0.047059718
ak192.rwl.csv,AK192,BC31,BC31N,BC31S,1901,2006,106,1.47E-24,0.000878488,0.235529617,0.48477007,1.774509065,-0.006145647,0.101409256
ak192.rwl.csv,AK192,BC37,BC37N,BC37S,1901,2012,112,2.25E-11,2.37E-07,0.273663068,0.352981949,2.032241262,0.019485779,0.216422288
ak192.rwl.csv,AK192,BC45,BC45N,BC45S,1901,1993,93,0.078159757,0.015420105,0.368758556,0.442197492,1.087499226,-0.003244786,0.062777818
ak195.rwl.csv,AK195,EG39,EG39N,EG39S,1901,2015,115,1.43E-24,5.37E-07,0.169979059,0.096569885,0.62993423,0.003629122,0.200136716
ak195.rwl.csv,AK195,EG64,EG64N,EG64S,1901,1977,77,0.231442533,0.002560426,0.109350351,0.101647894,0.996289589,0.001548559,0.11493572
ak199.rwl.csv,AK199,BB37,BB37N,BB37S,1901,1991,91,2.35E-14,1.19E-16,0.224811934,0.494391823,1.425284123,0.012527055,0.539389269
ak199.rwl.csv,AK199,BB40,BB40N,BB40S,1901,1999,99,2.03E-10,4.16E-09,0.433572779,0.314259534,0.796732051,0.006523551,0.300892449
ak200.rwl.csv,AK200,CM25,CM25N,CM25S,1901,2006,106,0.02097973,0.018487469,0.063591249,0.074017258,1.118841638,-0.002502016,0.052203252
ak200.rwl.csv,AK200,CM41,CM41N,CM41S,1901,1974,74,6.27E-17,0.023154108,0.152882646,0.120938678,0.812728525,-0.00176915,0.069580544
ak200.rwl.csv,AK200,CM82,CM82N,CM82S,1901,1966,66,0.000635962,5.07E-08,0.203286388,0.074414477,1.28742572,0.043800436,0.373381629
ak200.rwl.csv,AK200,CM86,CM86N,CM86S,1901,2006,106,3.31E-20,3.02E-09,0.096358098,0.071920194,1.922711132,0.032689422,0.357458106
arge038.rwl.csv,ARGE038,GA 07,GA 07N,GA 07S,1901,1924,24,1.86E-05,0.017501177,0.181774167,0.126842936,0.767820987,0.017035867,0.230775934
arge038.rwl.csv,ARGE038,GA 09,GA 09N,GA 09S,1901,1985,85,0.711380998,0.007967687,0.347529416,0.30481762,1.074636387,-0.00435326,0.081797063
arge038.rwl.csv,ARGE038,GA 11,GA 11N,GA 11S,1901,1985,85,0.041085275,4.94E-19,0.832241531,0.988773864,1.028440469,0.023464622,0.618101646
arge038.rwl.csv,ARGE038,GA 14,GA 14N,GA 14S,1901,1985,85,3.38E-06,6.35E-07,0.395157133,0.889175853,1.583312202,0.020702639,0.259622846
ausl025.rwl.csv,AUSL025,FT7.5,FT7.5N,FT7.5S,1901,2007,107,1.24E-33,0.005994323,0.492089418,0.143159564,0.321848582,-0.001566244,0.069715768
ausl025.rwl.csv,AUSL025,FT7.10,FT7.10N,FT7.10S,1901,2007,107,0.116897039,0.001436696,0.347679846,0.289146051,1.289059963,-0.010858453,0.093478695
ausl038c.rwl.csv,AUSL038C,MCK24,MCK24N,MCK24S,1901,2008,108,3.09E-20,5.03E-19,0.152424845,0.252169867,1.213082359,0.004469804,0.528820985
ausl038d.rwl.csv,AUSL038D,MCK24,MCK24N,MCK24S,1901,2008,108,7.70E-15,2.51E-22,0.240374837,0.613095487,1.191970591,0.005343993,0.591381921
ausl039.rwl.csv,AUSL039,FBC17,FBC17N,FBC17S,1901,1956,56,0.034119898,7.24E-10,0.227116423,0.434040186,1.058710946,-0.026096857,0.507860673
ausl039.rwl.csv,AUSL039,FBC9,FBC9N,FBC9S,1902,2011,110,0.01577431,9.33E-09,0.353385304,0.433173323,1.103786993,-0.005677591,0.264142428
ausl039.rwl.csv,AUSL039,FBC3,FBC3N,FBC3S,1901,2011,111,9.38E-11,0.002459208,0.532844732,0.564262292,1.367577077,-0.007527038,0.081045732
ausl041.rwl.csv,AUSL041,WALD35,WALD35N,WALD35S,1901,2006,106,2.85E-06,0.014829537,0.348194115,0.328060429,1.135637201,-0.001770733,0.055742648
ausl042.rwl.csv,AUSL042,932,932N,932S,1901,2008,108,1.58E-05,0.043540647,0.275948512,0.148188322,0.950879141,-0.001964256,0.037881647
ausl042.rwl.csv,AUSL042,914,914N,914S,1901,2008,108,2.05E-14,2.99E-05,0.22173333,0.123556113,0.747478205,-0.003783171,0.152215837
ausl043.rwl.csv,AUSL043,LCR23,LCR23N,LCR23S,1901,2012,112,1.31E-50,0.012666416,0.355559588,0.030842595,0.154923623,-0.000448878,0.055176574
ausl043.rwl.csv,AUSL043,RRD6,RRD6N,RRD6S,1901,2011,111,8.72E-10,0.00039404,0.143636092,0.164113863,1.268699449,-0.00335479,0.109307717
ausl043.rwl.csv,AUSL043,RRD10,RRD10N,RRD10S,1901,2011,111,1.97E-20,2.05E-10,0.230238873,0.230735627,1.333703595,-0.005323183,0.31096633
ausl047.rwl.csv,AUSL047,MESA3,MESA3N,MESA3S,1901,2011,111,0.090139942,5.05E-05,0.228148748,0.298779349,1.149065545,0.006702654,0.140513134
ausl047.rwl.csv,AUSL047,MESA7,MESA7N,MESA7S,1901,2011,111,0.286707492,1.30E-05,0.25725318,0.189127975,1.074084625,-0.003030801,0.160730209
ausl050.rwl.csv,AUSL050,WLD35,WLD35N,WLD35S,1901,2006,106,2.85E-06,0.014829537,0.348194115,0.328060429,1.135637201,-0.001770733,0.055742648
ausl058.rwl.csv,AUSL058,FF4,FF4N,FF4S,1943,2004,62,6.52E-08,0.01248814,0.794956464,1.199468905,1.39353261,-0.007000032,0.099554953
ausl058.rwl.csv,AUSL058,FF3,FF3N,FF3S,1953,2004,52,0.010619077,0.000151188,0.693020878,0.551857984,0.971368613,0.00886193,0.251708148
ausl058.rwl.csv,AUSL058,SC6,SC6N,SC6S,1923,2007,85,0.017992354,3.63E-05,0.695460265,0.983715437,0.919048576,-0.010426207,0.186760695
ausl058.rwl.csv,AUSL058,SC11,SC11N,SC11S,1915,1995,81,1.72E-05,1.88E-05,0.73618172,0.83027202,1.308085364,0.01160468,0.208034296
ausl059.rwl.csv,AUSL059,MAN1.1,MAN1.1N,MAN1.1S,1923,2003,81,0.837404782,0.014156099,0.877924628,1.052593877,1.029304189,-0.005582531,0.073799948
ausl059.rwl.csv,AUSL059,MAN1.3,MAN1.3N,MAN1.3S,1901,2007,107,8.98E-10,0.029974174,1.090068547,1.091140561,1.462777161,0.007993901,0.04407693
ausl059.rwl.csv,AUSL059,MAN1.10,MAN1.10N,MAN1.10S,1937,2000,64,2.93E-06,0.005062533,1.1441114,1.094748315,0.901605946,-0.003325855,0.119918042
ausl059.rwl.csv,AUSL059,MAN1.12,MAN1.12N,MAN1.12S,1926,2007,82,0.165644314,0.012387855,0.814002627,0.86528859,1.010798169,-0.004766973,0.075653333
ausl059.rwl.csv,AUSL059,MAN2.8,MAN2.8N,MAN2.8S,1912,2003,92,2.79E-08,4.46E-07,1.169995927,0.709767081,0.833013165,0.009455542,0.247775578
ausl060.rwl.csv,AUSL060,TIWI5,TIWI5N,TIWI5S,1933,1985,53,0.055043968,0.001420074,0.712428097,0.674002913,0.97003417,-0.007051599,0.182522367
ausl060.rwl.csv,AUSL060,TIWI9,TIWI9N,TIWI9S,1936,1992,57,5.16E-07,7.48E-05,1.266426764,2.250454957,1.255417522,-0.009214765,0.250024706
az566.rwl.csv,AZ566,SCL-14,SCL-14N,SCL-14S,1901,1965,65,0.229625743,8.94E-05,0.462854087,0.328169807,1.070779123,0.008389844,0.217718706
az566.rwl.csv,AZ566,SCL-15,SCL-15N,SCL-15S,1901,1965,65,3.25E-14,7.38E-06,0.627636836,0.369410782,0.656968646,0.004890807,0.278643185
az566.rwl.csv,AZ566,SCL-16,SCL-16N,SCL-16S,1901,1957,57,0.009730343,3.71E-09,0.508325088,0.408606256,0.980749394,0.007873842,0.471472227
az566.rwl.csv,AZ566,SCL-9,SCL-9N,SCL-9S,1901,1965,65,0.158500649,5.42E-08,0.713498202,0.641769732,1.049476613,0.013703725,0.376739082
brit7.rwl.csv,BRIT7,Q2533,Q2533N,Q2533S,1901,1975,75,4.45E-08,6.45E-10,0.245584429,0.277768327,0.762438853,-0.008030826,0.409301183
brit7.rwl.csv,BRIT7,Q2535,Q2535N,Q2535S,1901,1975,75,5.55E-15,4.64E-21,0.244449151,0.201706861,0.633485711,-0.012747579,0.705454225
brit7.rwl.csv,BRIT7,Q2537,Q2537N,Q2537S,1901,1975,75,1.34E-12,3.25E-14,0.08420524,0.200594342,2.305535155,0.047226351,0.547863388
brit7.rwl.csv,BRIT7,Q2538,Q2538N,Q2538S,1901,1975,75,1.78E-05,6.22E-06,0.049483094,0.083245648,1.355819789,-0.012403898,0.245426612
brit7.rwl.csv,BRIT7,Q2540,Q2540N,Q2540S,1901,1975,75,6.47E-11,2.23E-06,0.117672166,0.169306801,2.034733999,0.021959543,0.265580467
brit7.rwl.csv,BRIT7,Q2541,Q2541N,Q2541S,1901,1975,75,0.000289769,5.32E-12,0.135277493,0.31787827,1.249468192,-0.022591556,0.48098299
can677.rwl.csv,CAN677,R9801,R9801N,R9801S,1901,1997,97,6.36E-08,0.003268798,0.311642087,0.323730078,0.89865364,0.00205017,0.087475298
can677.rwl.csv,CAN677,R9815,R9815N,R9815S,1901,1997,97,0.781589318,1.26E-07,0.148434066,0.187184871,0.99785393,-0.00537519,0.255865139
can677.rwl.csv,CAN677,R9817,R9817N,R9817S,1901,1939,39,6.32E-05,0.021559839,0.280382138,0.448289901,2.105710163,0.049809924,0.141893469
can677.rwl.csv,CAN677,R9851,R9851N,R9851S,1901,1997,97,0.819738504,1.38E-07,0.134698902,0.115005169,1.019087465,0.002652808,0.254472581
cana223.rwl.csv,CANA223,A9803,A9803N,A9803S,1965,1997,33,0.770270802,0.00079851,0.271942218,0.453170149,0.967181842,0.014318481,0.308190018
cana223.rwl.csv,CANA223,A9804,A9804N,A9804S,1933,1997,65,1.97E-08,2.22E-10,0.313594555,0.359919721,1.38719745,0.017665656,0.474799313
cana223.rwl.csv,CANA223,A9806,A9806N,A9806S,1901,1997,97,0.000498119,0.001109863,0.143604518,0.248080781,1.349950294,0.008405546,0.106428717
cana223.rwl.csv,CANA223,A9808,A9808N,A9808S,1901,1996,96,0.000885555,1.47E-05,0.219159095,0.169767426,1.015776632,-0.013471081,0.181959244
cana223.rwl.csv,CANA223,A9809,A9809N,A9809S,1922,1997,76,5.98E-16,0.026842357,0.217036401,0.289074347,2.709323199,-0.021090336,0.064500953
